"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"373",2017,4,6,5,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"374",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"375",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"376",2017,4,6,5,"Taliban",2,NA,117,6,0
"377",2017,4,6,13,"Taliban",6,NA,-99,7,0
"378",2017,4,6,13,"Taliban",7,-99,NA,4,0
"379",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"380",2017,4,6,5,"Taliban",4,NA,-99,7,0
"381",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"382",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"383",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"384",2017,4,6,5,"Unknown",NA,NA,-99,7,0
"385",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"386",2017,4,6,5,"Taliban",2,-99,NA,4,0
"387",2017,4,6,8,"Taliban",7,NA,-99,7,0
"388",2017,4,6,5,"Unknown",3,NA,-99,7,0
"389",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"390",2017,4,6,13,"Taliban",0,NA,NA,NA,0
"391",2017,4,6,5,"Taliban",7,NA,-99,6,0
"392",2017,4,6,13,"Taliban",5,NA,-99,7,0
"393",2017,4,6,5,"Taliban",7,NA,-99,6,0
"394",2017,4,6,9,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"395",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"396",2017,4,6,5,"Taliban",72,NA,-99,6,0
"397",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"398",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"399",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"400",2017,4,6,5,"Taliban",NA,NA,-99,6,0
"401",2017,4,6,5,"Taliban",0,NA,107,2,0
"402",2017,4,6,9,"Unknown",1,-99,NA,4,0
"403",2017,4,6,5,"Unknown",0,NA,39,2,0
"404",2017,4,6,6,"Taliban",2,-99,NA,3,0
"405",2017,4,6,5,"Unknown",1,NA,NA,NA,0
"406",2017,4,6,13,"Taliban",3,NA,-99,4,0
"407",2017,4,6,5,"Khorasan Chapter of the Islamic State",3,-99,NA,4,0
"408",2017,4,6,5,"Hizb-I-Islami",NA,NA,-99,7,0
"409",2017,4,6,13,"Taliban",0,NA,3,2,0
"410",2017,4,6,13,"Khorasan Chapter of the Islamic State",0,NA,3,2,0
"411",2017,4,6,9,"Khorasan Chapter of the Islamic State",2,NA,-99,4,0
"412",2017,4,6,13,"Taliban",5,NA,-99,7,0
"413",2017,4,6,5,"Khorasan Chapter of the Islamic State",0,NA,138,2,0
"414",2017,4,6,13,"Taliban",3,NA,-99,7,0
"415",2017,4,6,13,"Taliban",2,NA,-99,7,0
"416",2017,4,6,13,"Taliban",7,NA,-99,7,0
"417",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"418",2017,4,6,13,"Taliban",1,-99,NA,4,0
"419",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"420",2017,4,6,5,"Unknown",1,NA,-99,7,0
"421",2017,4,6,9,"Taliban",2,NA,-99,6,0
"422",2017,4,6,5,"Unknown",NA,NA,-99,7,0
"423",2017,4,6,5,"Taliban",1,NA,2,4,0
"424",2017,4,5,6,"Khorasan Chapter of the Islamic State",5,-99,NA,5,1
"425",2017,4,4,13,"Taliban",NA,NA,-99,7,0
"426",2017,4,6,5,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"427",2017,4,6,13,"Taliban",2,NA,-99,4,0
"428",2017,4,4,5,"Khorasan Chapter of the Islamic State",0,NA,1,5,0
"429",2017,4,6,6,"Taliban",NA,NA,-99,7,0
"430",2017,4,6,13,"Taliban",14,NA,-99,7,0
"431",2017,4,6,13,"Taliban",2,NA,2,4,0
"432",2017,4,6,13,"Taliban",0,NA,2,2,0
"433",2017,4,6,5,"Unknown",0,NA,2,5,0
"434",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
